Result,Duration,KDA
1,41:26,25/8/11
1,24:35,15/5/6
1,19:43,10/1/3
1,35:27,14/4/7
1,1:03:14,41/8/24
0,24:12,1/9/8
1,32:28,0/3/14
0,24:49,9/10/0
0,39:26,12/10/12
0,34:52,9/13/3
1,21:45,9/1/14
1,1:04:18,21/5/12
1,37:02,22/8/8
1,36:48,17/4/17
0,40:45,4/11/15
0,42:18,11/10/10
0,39:27,12/10/15
0,26:19,3/8/3
0,45:22,14/7/10
1,42:27,8/9/8
0,35:41,10/8/7
0,34:06,14/8/5
1,30:13,4/2/26
1,35:02,5/2/7
1,36:00,16/5/19
1,45:53,21/5/12
0,42:35,3/9/5
1,41:44,11/4/27
0,34:07,2/5/9
0,37:08,3/7/8
1,34:01,11/1/11
1,26:50,6/2/5
0,27:57,6/8/5
1,39:58,9/3/18
0,32:03,1/10/10
0,32:00,0/8/2
1,29:41,22/5/22
1,31:04,8/2/13
0,37:00,6/6/5
1,25:48,15/0/4
0,17:41,4/3/3
1,34:02,22/4/15
1,38:28,25/6/15
0,34:21,3/14/7
0,52:48,21/11/16
1,32:03,10/5/13
0,45:02,12/9/7
1,32:04,10/1/5
0,29:08,5/11/3
1,42:23,14/7/7
